antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'el-salvador-aid_y'}),frozenset({'adoption-of-the-budget-resolution_n'}),0.48735632183908045,0.3931034482758621,0.35172413793103446,0.7216981132075472,1.8358987090367427,0.1601426872770511,2.1807130333138516,0.8881561593247163
frozenset({'adoption-of-the-budget-resolution_n'}),frozenset({'religious-groups-in-schools_y'}),0.3931034482758621,0.6252873563218391,0.3471264367816092,0.8830409356725146,1.412216202270382,0.1013238208481966,3.2037931034482763,0.4809602649006623
frozenset({'adoption-of-the-budget-resolution_n'}),frozenset({'aid-to-nicaraguan-contras_n'}),0.3931034482758621,0.4091954022988506,0.3218390804597701,0.8187134502923976,2.0007884880741176,0.16098295679746333,3.258954393770855,0.8241883116883116
frozenset({'aid-to-nicaraguan-contras_n'}),frozenset({'adoption-of-the-budget-resolution_n'}),0.4091954022988506,0.3931034482758621,0.3218390804597701,0.7865168539325842,2.0007884880741176,0.16098295679746333,2.842831215970961,0.8466370205669816
frozenset({'mx-missile_n'}),frozenset({'adoption-of-the-budget-resolution_n'}),0.4735632183908046,0.3931034482758621,0.335632183908046,0.7087378640776699,1.8029296542326692,0.14947284978200556,2.0836781609195403,0.8459651851408747
frozenset({'adoption-of-the-budget-resolution_n'}),frozenset({'mx-missile_n'}),0.3931034482758621,0.4735632183908046,0.335632183908046,0.8538011695906433,1.8029296542326692,0.14947284978200556,3.600827586206898,0.7338107098381071
frozenset({'education-spending_y'}),frozenset({'adoption-of-the-budget-resolution_n'}),0.3931034482758621,0.3931034482758621,0.3057471264367816,0.7777777777777777,1.978557504873294,0.15121680539040822,2.7310344827586195,0.8149350649350648
frozenset({'adoption-of-the-budget-resolution_n'}),frozenset({'education-spending_y'}),0.3931034482758621,0.3931034482758621,0.3057471264367816,0.7777777777777777,1.978557504873294,0.15121680539040822,2.7310344827586195,0.8149350649350648
frozenset({'adoption-of-the-budget-resolution_n'}),frozenset({'superfund-right-to-sue_y'}),0.3931034482758621,0.4804597701149425,0.31264367816091954,0.7953216374269005,1.655334508520104,0.12377328577090765,2.5383251231527093,0.652322860962567
frozenset({'superfund-right-to-sue_y'}),frozenset({'adoption-of-the-budget-resolution_n'}),0.4804597701149425,0.3931034482758621,0.31264367816091954,0.6507177033492824,1.655334508520104,0.12377328577090765,1.7375531412376006,0.7620054659031753
frozenset({'adoption-of-the-budget-resolution_n'}),frozenset({'crime_y'}),0.3931034482758621,0.5701149425287356,0.3632183908045977,0.9239766081871346,1.6206847764572723,0.13910424098295682,5.654641909814329,0.631041426927503
frozenset({'crime_y'}),frozenset({'adoption-of-the-budget-resolution_n'}),0.5701149425287356,0.3931034482758621,0.3632183908045977,0.6370967741935485,1.6206847764572725,0.13910424098295682,1.6723371647509584,0.8908820144858864
frozenset({'adoption-of-the-budget-resolution_n'}),frozenset({'duty-free-exports_n'}),0.3931034482758621,0.535632183908046,0.3218390804597701,0.8187134502923976,1.5284993599879526,0.11128022195798651,2.5615127919911003,0.5697240259740259
frozenset({'duty-free-exports_n'}),frozenset({'adoption-of-the-budget-resolution_n'}),0.535632183908046,0.3931034482758621,0.3218390804597701,0.6008583690987124,1.5284993599879526,0.11128022195798651,1.5205042639970334,0.7445898161244695
frozenset({'adoption-of-the-budget-resolution_y'}),frozenset({'physician-fee-freeze_n'}),0.5816091954022988,0.5678160919540229,0.503448275862069,0.8656126482213439,1.5244595221711927,0.17320121548421197,3.215956727518594,0.8222690551457676
frozenset({'physician-fee-freeze_n'}),frozenset({'adoption-of-the-budget-resolution_y'}),0.5678160919540229,0.5816091954022988,0.503448275862069,0.8866396761133604,1.5244595221711927,0.17320121548421197,3.6908045977011508,0.7960264257262218
frozenset({'el-salvador-aid_n'}),frozenset({'adoption-of-the-budget-resolution_y'}),0.4781609195402299,0.5816091954022988,0.432183908045977,0.9038461538461539,1.554043782304652,0.15408112035936056,4.351264367816093,0.6831943012466023
frozenset({'adoption-of-the-budget-resolution_y'}),frozenset({'el-salvador-aid_n'}),0.5816091954022988,0.4781609195402299,0.432183908045977,0.7430830039525692,1.554043782304652,0.15408112035936056,2.0311582670203365,0.8521159691372457
frozenset({'religious-groups-in-schools_n'}),frozenset({'adoption-of-the-budget-resolution_y'}),0.34942528735632183,0.5816091954022988,0.30344827586206896,0.868421052631579,1.4931350114416477,0.10021931562954156,3.1797701149425297,0.5076560659599529
frozenset({'anti-satellite-test-ban_y'}),frozenset({'adoption-of-the-budget-resolution_y'}),0.5494252873563218,0.5816091954022988,0.46206896551724136,0.8410041841004184,1.4459953362991385,0.14251816620425423,2.6314579552329103,0.6845365011676313
frozenset({'adoption-of-the-budget-resolution_y'}),frozenset({'anti-satellite-test-ban_y'}),0.5816091954022988,0.5494252873563218,0.46206896551724136,0.7944664031620553,1.4459953362991385,0.14251816620425423,2.1922192749778957,0.737193155103603
frozenset({'aid-to-nicaraguan-contras_y'}),frozenset({'adoption-of-the-budget-resolution_y'}),0.5563218390804597,0.5816091954022988,0.4942528735632184,0.8884297520661157,1.5275373207460883,0.17069097635090502,3.750021285653471,0.7783829377033378
frozenset({'adoption-of-the-budget-resolution_y'}),frozenset({'aid-to-nicaraguan-contras_y'}),0.5816091954022988,0.5563218390804597,0.4942528735632184,0.8498023715415021,1.5275373207460885,0.17069097635090502,2.9539624924379937,0.8254280603117812
frozenset({'mx-missile_y'}),frozenset({'adoption-of-the-budget-resolution_y'}),0.47586206896551725,0.5816091954022988,0.41379310344827586,0.8695652173913043,1.4951022512459187,0.13702734839476816,3.2076628352490415,0.6317982456140353
frozenset({'adoption-of-the-budget-resolution_y'}),frozenset({'mx-missile_y'}),0.5816091954022988,0.47586206896551725,0.41379310344827586,0.7114624505928854,1.4951022512459184,0.13702734839476816,1.8165328294756728,0.7914835164835166
frozenset({'education-spending_n'}),frozenset({'adoption-of-the-budget-resolution_y'}),0.535632183908046,0.5816091954022988,0.46206896551724136,0.8626609442060085,1.483231267705983,0.15054036200290655,3.0464080459770093,0.7015910546278508
frozenset({'adoption-of-the-budget-resolution_y'}),frozenset({'education-spending_n'}),0.5816091954022988,0.535632183908046,0.46206896551724136,0.7944664031620553,1.483231267705983,0.15054036200290655,2.259328028293545,0.7786889727188232
frozenset({'superfund-right-to-sue_n'}),frozenset({'adoption-of-the-budget-resolution_y'}),0.46206896551724136,0.5816091954022988,0.3954022988505747,0.8557213930348259,1.4712996283405109,0.12665873959571938,2.899881093935791,0.5954830053667264
frozenset({'adoption-of-the-budget-resolution_y'}),frozenset({'superfund-right-to-sue_n'}),0.5816091954022988,0.46206896551724136,0.3954022988505747,0.6798418972332015,1.4712996283405109,0.12665873959571938,1.6802043422733075,0.7656210069000766
frozenset({'crime_n'}),frozenset({'adoption-of-the-budget-resolution_y'}),0.39080459770114945,0.5816091954022988,0.3632183908045977,0.9294117647058824,1.5980004650081379,0.1359228431761131,5.927203065134102,0.6142823023644614
frozenset({'adoption-of-the-budget-resolution_y'}),frozenset({'crime_n'}),0.5816091954022988,0.39080459770114945,0.3632183908045977,0.624505928853755,1.5980004650081376,0.1359228431761131,1.6223835450695707,0.8944220336625399
frozenset({'duty-free-exports_y'}),frozenset({'adoption-of-the-budget-resolution_y'}),0.4,0.5816091954022988,0.3471264367816092,0.867816091954023,1.492094861660079,0.11448275862068966,3.1652173913043478,0.5496688741721855
frozenset({'adoption-of-the-budget-resolution_y'}),frozenset({'export-administration-act-south-africa_y'}),0.5816091954022988,0.6183908045977011,0.39770114942528734,0.683794466403162,1.1057642858192398,0.03803937111903821,1.20683908045977,0.22860954074826928
frozenset({'export-administration-act-south-africa_y'}),frozenset({'adoption-of-the-budget-resolution_y'}),0.6183908045977011,0.5816091954022988,0.39770114942528734,0.6431226765799256,1.1057642858192398,0.03803937111903821,1.1723659003831417,0.2506441952782229
frozenset({'el-salvador-aid_n'}),frozenset({'physician-fee-freeze_n'}),0.4781609195402299,0.5678160919540229,0.4482758620689655,0.9375,1.6510627530364375,0.17676839741049022,6.914942528735633,0.7556534508076361
frozenset({'physician-fee-freeze_n'}),frozenset({'el-salvador-aid_n'}),0.5678160919540229,0.4781609195402299,0.4482758620689655,0.7894736842105264,1.6510627530364375,0.17676839741049022,2.4787356321839096,0.9124113475177307
frozenset({'religious-groups-in-schools_n'}),frozenset({'physician-fee-freeze_n'}),0.34942528735632183,0.5678160919540229,0.3080459770114943,0.8815789473684211,1.5525783081184745,0.10963667591491616,3.649553001277142,0.5470703021992513
frozenset({'anti-satellite-test-ban_y'}),frozenset({'physician-fee-freeze_n'}),0.5494252873563218,0.5678160919540229,0.4528735632183908,0.8242677824267782,1.451645689698982,0.1409010437310081,2.4593322386425838,0.6905107220553197
frozenset({'physician-fee-freeze_n'}),frozenset({'anti-satellite-test-ban_y'}),0.5678160919540229,0.5494252873563218,0.4528735632183908,0.7975708502024292,1.4516456896989822,0.1409010437310081,2.2258390804597714,0.7198941570363971
frozenset({'aid-to-nicaraguan-contras_y'}),frozenset({'physician-fee-freeze_n'}),0.5563218390804597,0.5678160919540229,0.4850574712643678,0.8719008264462811,1.5355338441462847,0.16916897872902636,3.3738227660363393,0.7860668418338534
frozenset({'physician-fee-freeze_n'}),frozenset({'aid-to-nicaraguan-contras_y'}),0.5678160919540229,0.5563218390804597,0.4850574712643678,0.8542510121457491,1.5355338441462845,0.16916897872902636,3.0441251596424026,0.8069728748613495
frozenset({'mx-missile_y'}),frozenset({'physician-fee-freeze_n'}),0.47586206896551725,0.5678160919540229,0.41379310344827586,0.8695652173913043,1.5314205245555361,0.14359096313912012,3.3134099616858235,0.6620614035087721
frozenset({'physician-fee-freeze_n'}),frozenset({'mx-missile_y'}),0.5678160919540229,0.47586206896551725,0.41379310344827586,0.7287449392712552,1.5314205245555361,0.14359096313912012,1.9322696860524966,0.8029255319148937
frozenset({'education-spending_n'}),frozenset({'physician-fee-freeze_n'}),0.535632183908046,0.5678160919540229,0.46436781609195404,0.8669527896995708,1.5268196903615925,0.16022724270048888,3.248350018539117,0.7430398980492111
frozenset({'physician-fee-freeze_n'}),frozenset({'education-spending_n'}),0.5678160919540229,0.535632183908046,0.46436781609195404,0.8178137651821863,1.5268196903615923,0.16022724270048888,2.548863346104726,0.7983726564145778
frozenset({'superfund-right-to-sue_n'}),frozenset({'physician-fee-freeze_n'}),0.46206896551724136,0.5678160919540229,0.4091954022988506,0.8855721393034827,1.5596108526194938,0.14682520808561245,3.776911544227889,0.6670267934312881
frozenset({'physician-fee-freeze_n'}),frozenset({'superfund-right-to-sue_n'}),0.5678160919540229,0.46206896551724136,0.4091954022988506,0.7206477732793524,1.559610852619494,0.14682520808561245,1.9256371814092963,0.8302354769304331
frozenset({'crime_n'}),frozenset({'physician-fee-freeze_n'}),0.39080459770114945,0.5678160919540229,0.37471264367816093,0.9588235294117646,1.6886163372231484,0.1528075042938301,10.495894909687996,0.6694061812709804
frozenset({'physician-fee-freeze_n'}),frozenset({'crime_n'}),0.5678160919540229,0.39080459770114945,0.37471264367816093,0.6599190283400811,1.6886163372231486,0.1528075042938301,1.791324575807335,0.9435778618979246
frozenset({'duty-free-exports_y'}),frozenset({'physician-fee-freeze_n'}),0.4,0.5678160919540229,0.3563218390804598,0.8908045977011494,1.5688259109311742,0.1291954022988506,3.9578947368421047,0.6043010752688173
frozenset({'physician-fee-freeze_n'}),frozenset({'duty-free-exports_y'}),0.5678160919540229,0.4,0.3563218390804598,0.6275303643724697,1.5688259109311742,0.1291954022988506,1.6108695652173914,0.8389498970487302
frozenset({'export-administration-act-south-africa_y'}),frozenset({'physician-fee-freeze_n'}),0.6183908045977011,0.5678160919540229,0.3816091954022989,0.617100371747212,1.0867962012552115,0.030476945435328362,1.1287133132462899,0.20928291479169722
frozenset({'physician-fee-freeze_n'}),frozenset({'export-administration-act-south-africa_y'}),0.5678160919540229,0.6183908045977011,0.3816091954022989,0.6720647773279353,1.0867962012552115,0.030476945435328362,1.1636724847452822,0.18479236093309437
frozenset({'physician-fee-freeze_y'}),frozenset({'el-salvador-aid_y'}),0.4068965517241379,0.48735632183908045,0.38620689655172413,0.9491525423728814,1.9475535657179406,0.18790328973444312,10.081992337164756,0.8203211517165004
frozenset({'el-salvador-aid_y'}),frozenset({'physician-fee-freeze_y'}),0.48735632183908045,0.4068965517241379,0.38620689655172413,0.7924528301886793,1.9475535657179408,0.18790328973444312,2.8576802507837002,0.9490711082639331
frozenset({'physician-fee-freeze_y'}),frozenset({'religious-groups-in-schools_y'}),0.4068965517241379,0.6252873563218391,0.367816091954023,0.903954802259887,1.4456630109670987,0.11338882282996432,3.9014198782961462,0.519767441860465
frozenset({'anti-satellite-test-ban_n'}),frozenset({'physician-fee-freeze_y'}),0.41839080459770117,0.4068965517241379,0.3080459770114943,0.7362637362637363,1.8094617247159621,0.13780420134760207,2.248850574712644,0.7691581617603682
frozenset({'physician-fee-freeze_y'}),frozenset({'anti-satellite-test-ban_n'}),0.4068965517241379,0.41839080459770117,0.3080459770114943,0.7570621468926555,1.8094617247159621,0.13780420134760207,2.3940657578187663,0.7542519958347794
frozenset({'physician-fee-freeze_y'}),frozenset({'aid-to-nicaraguan-contras_n'}),0.4068965517241379,0.4091954022988506,0.32873563218390806,0.8079096045197741,1.9743858312702345,0.16223543400713436,3.0756592292089264,0.8320865181330296
frozenset({'aid-to-nicaraguan-contras_n'}),frozenset({'physician-fee-freeze_y'}),0.4091954022988506,0.4068965517241379,0.32873563218390806,0.8033707865168539,1.9743858312702343,0.16223543400713436,3.0163546798029555,0.835324208865065
frozenset({'mx-missile_n'}),frozenset({'physician-fee-freeze_y'}),0.4735632183908046,0.4068965517241379,0.35402298850574715,0.7475728155339806,1.83725522461741,0.1613317479191439,2.3496021220159156,0.8656496342085863
frozenset({'physician-fee-freeze_y'}),frozenset({'mx-missile_n'}),0.4068965517241379,0.4735632183908046,0.35402298850574715,0.8700564971751413,1.83725522461741,0.1613317479191439,4.051274362818593,0.7683479311386288
frozenset({'physician-fee-freeze_y'}),frozenset({'synfuels-corporation-cutback_n'}),0.4068965517241379,0.6068965517241379,0.31724137931034485,0.7796610169491527,1.2846687211093992,0.07029726516052323,1.7840848806366059,0.3736097067745199
frozenset({'education-spending_y'}),frozenset({'physician-fee-freeze_y'}),0.3931034482758621,0.4068965517241379,0.32413793103448274,0.8245614035087718,2.0264644662503715,0.16418549346016645,3.380689655172412,0.8346228239845261
frozenset({'physician-fee-freeze_y'}),frozenset({'education-spending_y'}),0.4068965517241379,0.3931034482758621,0.32413793103448274,0.7966101694915254,2.0264644662503715,0.16418549346016645,2.983908045977011,0.8540326571004451
frozenset({'physician-fee-freeze_y'}),frozenset({'superfund-right-to-sue_y'}),0.4068965517241379,0.4804597701149425,0.3333333333333333,0.8192090395480226,1.7050523071932528,0.1378359096313912,2.8737068965517247,0.6971932638331996
frozenset({'superfund-right-to-sue_y'}),frozenset({'physician-fee-freeze_y'}),0.4804597701149425,0.4068965517241379,0.3333333333333333,0.69377990430622,1.7050523071932528,0.1378359096313912,1.9368534482758621,0.7959108941104668
frozenset({'physician-fee-freeze_y'}),frozenset({'crime_y'}),0.4068965517241379,0.5701149425287356,0.38620689655172413,0.9491525423728814,1.6648441771459814,0.15422909235037655,8.454406130268204,0.6733111849390918
frozenset({'crime_y'}),frozenset({'physician-fee-freeze_y'}),0.5701149425287356,0.4068965517241379,0.38620689655172413,0.6774193548387096,1.6648441771459814,0.15422909235037655,1.8386206896551724,0.9289533995416349
frozenset({'duty-free-exports_n'}),frozenset({'physician-fee-freeze_y'}),0.535632183908046,0.4068965517241379,0.3448275862068966,0.6437768240343348,1.5821633811013314,0.12688069758224338,1.6649771499792276,0.7923762376237625
frozenset({'physician-fee-freeze_y'}),frozenset({'duty-free-exports_n'}),0.4068965517241379,0.535632183908046,0.3448275862068966,0.8474576271186441,1.5821633811013311,0.12688069758224338,3.044189016602811,0.6203875968992248
frozenset({'religious-groups-in-schools_n'}),frozenset({'el-salvador-aid_n'}),0.34942528735632183,0.4781609195402299,0.31494252873563217,0.9013157894736842,1.8849633097165992,0.14786101202272425,5.2879693486590025,0.7216476232235434
frozenset({'el-salvador-aid_n'}),frozenset({'religious-groups-in-schools_n'}),0.4781609195402299,0.34942528735632183,0.31494252873563217,0.6586538461538461,1.8849633097165992,0.14786101202272425,1.9059090173223248,0.8996752307148139
frozenset({'anti-satellite-test-ban_y'}),frozenset({'el-salvador-aid_n'}),0.5494252873563218,0.4781609195402299,0.432183908045977,0.7866108786610879,1.6450756356614098,0.16947020742502317,2.445481180978139,0.8702778983934001
frozenset({'el-salvador-aid_n'}),frozenset({'anti-satellite-test-ban_y'}),0.4781609195402299,0.5494252873563218,0.432183908045977,0.9038461538461539,1.6450756356614098,0.16947020742502317,4.685977011494254,0.7514293748242574
frozenset({'aid-to-nicaraguan-contras_y'}),frozenset({'el-salvador-aid_n'}),0.5563218390804597,0.4781609195402299,0.4689655172413793,0.8429752066115703,1.7629529561347745,0.2029541551063549,3.3232909860859063,0.97541399979681
frozenset({'el-salvador-aid_n'}),frozenset({'aid-to-nicaraguan-contras_y'}),0.4781609195402299,0.5563218390804597,0.4689655172413793,0.9807692307692307,1.7629529561347743,0.2029541551063549,23.071264367816042,0.8293167487259222
frozenset({'mx-missile_y'}),frozenset({'el-salvador-aid_n'}),0.47586206896551725,0.4781609195402299,0.4114942528735632,0.8647342995169082,1.808458751393534,0.1839556084026952,3.8578817733990136,0.852910908556307
frozenset({'el-salvador-aid_n'}),frozenset({'mx-missile_y'}),0.4781609195402299,0.47586206896551725,0.4114942528735632,0.8605769230769231,1.8084587513935342,0.1839556084026952,3.759334126040429,0.856668225334088
frozenset({'el-salvador-aid_n'}),frozenset({'education-spending_n'}),0.4781609195402299,0.535632183908046,0.4068965517241379,0.8509615384615384,1.5887050181578077,0.1507781741313251,3.1157582499073038,0.7100973145175339
frozenset({'education-spending_n'}),frozenset({'el-salvador-aid_n'}),0.535632183908046,0.4781609195402299,0.4068965517241379,0.7596566523605149,1.5887050181578077,0.1507781741313251,2.1712233169129713,0.7979806455221793
frozenset({'superfund-right-to-sue_n'}),frozenset({'el-salvador-aid_n'}),0.46206896551724136,0.4781609195402299,0.37471264367816093,0.8109452736318409,1.6959672789896671,0.15376932223543402,2.7602540834845746,0.7628598395469562
frozenset({'el-salvador-aid_n'}),frozenset({'superfund-right-to-sue_n'}),0.4781609195402299,0.46206896551724136,0.37471264367816093,0.7836538461538461,1.6959672789896671,0.15376932223543402,2.486436781609195,0.7863841517796816
frozenset({'crime_n'}),frozenset({'el-salvador-aid_n'}),0.39080459770114945,0.4781609195402299,0.35172413793103446,0.8999999999999999,1.8822115384615383,0.16485665213370324,5.218390804597696,0.7693920335429768
frozenset({'el-salvador-aid_n'}),frozenset({'crime_n'}),0.4781609195402299,0.39080459770114945,0.35172413793103446,0.735576923076923,1.882211538461538,0.16485665213370324,2.3038662486938346,0.8981889378365148
frozenset({'el-salvador-aid_n'}),frozenset({'duty-free-exports_y'}),0.4781609195402299,0.4,0.32413793103448274,0.6778846153846153,1.694711538461538,0.13287356321839078,1.8626865671641786,0.7855469116130844
frozenset({'duty-free-exports_y'}),frozenset({'el-salvador-aid_n'}),0.4,0.4781609195402299,0.32413793103448274,0.8103448275862069,1.6947115384615383,0.13287356321839078,2.751515151515151,0.6832151300236405
frozenset({'el-salvador-aid_n'}),frozenset({'export-administration-act-south-africa_y'}),0.4781609195402299,0.6183908045977011,0.3333333333333333,0.6971153846153846,1.1273055476122391,0.03764301757167393,1.259916073709177,0.2164058939693149
frozenset({'religious-groups-in-schools_y'}),frozenset({'el-salvador-aid_y'}),0.6252873563218391,0.48735632183908045,0.4528735632183908,0.7242647058823529,1.4861091842397336,0.1481358171488968,1.8591877394636016,0.8729407368191583
frozenset({'el-salvador-aid_y'}),frozenset({'religious-groups-in-schools_y'}),0.48735632183908045,0.6252873563218391,0.4528735632183908,0.9292452830188679,1.4861091842397336,0.1481358171488968,5.295938697318005,0.6380687896929274
frozenset({'anti-satellite-test-ban_n'}),frozenset({'el-salvador-aid_y'}),0.41839080459770117,0.48735632183908045,0.3724137931034483,0.8901098901098902,1.8264047273481236,0.16850838948341923,4.665057471264371,0.7779729663787636
